date,time,chamber_temperature_c,d_t_m_v,wet_bulb_depression_m_v,corrected_water_potential_m_pa,intercept,slope,edbo,correction_for_d_t_m_pa,internal_battery_voltage_v,internal_battery_temperature_c,external_power_supply_present,external_power_supply_voltage_v,external_power_supply_current_m_a,diagnostic_comment,dt
2023-02-19,14:00:00,19.28,-0.75,9.69,-2.73,0.37,-4.21,0.55,-0.1,4.04,28.2,not present,0,0,NA,2023-02-19T21:00:00Z
2023-02-19,14:30:00,18.07,-0.59,8.61,-2.51,0.37,-4.21,-0.01,-0.08,4.2,27.7,present,19.81,35.7,NA,2023-02-19T21:30:00Z
2023-02-19,15:00:00,17.58,-0.41,8.45,-2.47,0.37,-4.21,-0.14,-0.05,4.2,27.1,present,19.53,35.4,NA,2023-02-19T22:00:00Z
2023-02-19,15:30:00,17.2,-0.38,8.31,-2.46,0.37,-4.21,-0.15,-0.05,4.02,25.9,not present,0,0,NA,2023-02-19T22:30:00Z
2023-02-19,16:00:00,16.75,-0.49,7.93,-2.4,0.37,-4.21,-0.12,-0.06,4.2,26,present,19.37,35.09,NA,2023-02-19T23:00:00Z
2023-02-19,16:30:01,16.49,-0.45,7.73,-2.36,0.37,-4.21,-0.38,-0.06,4,24.6,not present,0,0,NA,2023-02-19T23:30:01Z
2023-02-19,17:00:01,15.97,-0.38,7.52,-2.32,0.37,-4.21,-0.26,-0.05,3.99,23.9,not present,0,0,NA,2023-02-20T00:00:01Z
2023-02-19,17:30:01,15.47,-0.42,7.26,-2.29,0.37,-4.21,-0.37,-0.05,3.95,22.7,not present,0,0,NA,2023-02-20T00:30:01Z
2023-02-19,18:00:01,14.96,-0.36,6.97,-2.23,0.37,-4.21,-0.38,-0.05,3.93,21.6,not present,0,0,NA,2023-02-20T01:00:01Z
2023-02-19,18:30:01,14.26,-0.33,6.71,-2.2,0.37,-4.21,-0.52,-0.04,3.92,20.4,not present,0,0,NA,2023-02-20T01:30:01Z
2023-02-19,19:00:00,13.44,-0.36,6.49,-2.2,0.37,-4.21,-0.26,-0.05,3.9,19.5,not present,0,0,NA,2023-02-20T02:00:00Z
2023-02-19,19:30:00,12.7,-0.33,6.37,-2.22,0.37,-4.21,-0.2,-0.04,3.89,18.4,not present,0,0,NA,2023-02-20T02:30:00Z
2023-02-19,20:00:01,11.87,-0.33,6.16,-2.22,0.37,-4.21,-0.22,-0.04,3.87,17.5,not present,0,0,NA,2023-02-20T03:00:01Z
2023-02-19,20:30:00,11.28,-0.32,5.93,-2.19,0.37,-4.21,-0.44,-0.04,3.86,17,not present,0,0,NA,2023-02-20T03:30:00Z
2023-02-19,21:00:00,11.31,-0.27,5.81,-2.14,0.37,-4.21,-0.43,-0.03,3.85,16.7,not present,0,0,NA,2023-02-20T04:00:00Z
2023-02-19,21:30:00,11.36,-0.23,5.88,-2.16,0.37,-4.21,-0.47,-0.03,3.85,16.79,not present,0,0,NA,2023-02-20T04:30:00Z
2023-02-19,22:00:00,11.28,-0.18,5.9,-2.16,0.37,-4.21,-0.44,-0.02,3.84,16.7,not present,0,0,NA,2023-02-20T05:00:00Z
2023-02-19,22:30:00,10.9,-0.34,5.83,-2.19,0.37,-4.21,-0.39,-0.05,3.83,16.29,not present,0,0,NA,2023-02-20T05:30:00Z
2023-02-19,23:00:01,10.34,-0.2,5.72,-2.19,0.37,-4.21,-0.42,-0.02,3.82,16,not present,0,0,NA,2023-02-20T06:00:01Z
2023-02-19,23:30:01,10.07,-0.1,5.59,-2.15,0.37,-4.21,-0.21,-0.01,3.81,15.6,not present,0,0,NA,2023-02-20T06:30:01Z
2023-02-20,00:00:01,10.16,-0.04,5.4,-2.06,0.37,-4.21,-0.66,0,3.81,15.5,not present,0,0,NA,2023-02-20T07:00:01Z
2023-02-20,00:30:01,10.37,-0.13,5.28,-2,0.37,-4.21,-0.75,-0.01,3.8,15.9,not present,0,0,NA,2023-02-20T07:30:01Z
2023-02-20,01:00:01,10.36,-0.15,5.39,-2.05,0.37,-4.21,-0.79,-0.02,3.8,16.1,not present,0,0,NA,2023-02-20T08:00:01Z
2023-02-20,01:30:01,10.12,-0.24,5.41,-2.09,0.37,-4.21,-0.5,-0.03,3.79,16,not present,0,0,NA,2023-02-20T08:30:01Z
2023-02-20,02:00:01,10.12,-0.19,5.42,-2.09,0.37,-4.21,-0.35,-0.02,3.79,15.6,not present,0,0,NA,2023-02-20T09:00:01Z
2023-02-20,02:30:00,10.79,-0.01,5.37,-1.98,0.37,-4.21,-0.91,0,3.78,16.2,not present,0,0,NA,2023-02-20T09:30:00Z
2023-02-20,03:00:00,10.8,-0.08,5.39,-2,0.37,-4.21,-0.83,-0.01,3.78,16.1,not present,0,0,NA,2023-02-20T10:00:00Z
2023-02-20,03:30:00,10.42,-0.22,5.29,-2.01,0.37,-4.21,-0.83,-0.03,3.77,16,not present,0,0,NA,2023-02-20T10:30:00Z
2023-02-20,04:00:00,9.65,-0.3,5.41,-2.15,0.37,-4.21,-0.27,-0.04,3.77,15.2,not present,0,0,NA,2023-02-20T11:00:00Z
2023-02-20,04:30:00,9.09,-0.36,5.2,-2.13,0.37,-4.21,-0.15,-0.05,3.76,14.7,not present,0,0,NA,2023-02-20T11:30:00Z
2023-02-20,05:00:00,8.76,-0.31,5.04,-2.08,0.37,-4.21,-0.32,-0.04,3.75,14.6,not present,0,0,NA,2023-02-20T12:00:00Z
2023-02-20,05:30:00,8.66,-0.3,5.01,-2.08,0.37,-4.21,-0.27,-0.04,3.74,14.4,not present,0,0,NA,2023-02-20T12:30:00Z
2023-02-20,06:00:01,8.7,-0.26,5.06,-2.09,0.37,-4.21,-0.16,-0.03,3.74,14.3,not present,0,0,NA,2023-02-20T13:00:01Z
2023-02-20,06:30:01,8.86,-0.33,5.11,-2.11,0.37,-4.21,-0.21,-0.04,3.74,14.5,not present,0,0,NA,2023-02-20T13:30:01Z
2023-02-20,07:00:01,8.89,-0.35,5.12,-2.11,0.37,-4.21,-0.2,-0.05,3.73,14.3,not present,0,0,NA,2023-02-20T14:00:01Z
2023-02-20,07:30:01,8.93,-0.31,5.07,-2.08,0.37,-4.21,-0.34,-0.04,3.73,14.7,not present,0,0,NA,2023-02-20T14:30:01Z
